gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	captionID	pairID	label1	label2	label3	label4	label5
entailment	( ( ( A girl ) ( in ( a ( black t-shirt ) ) ) ) ( ( laughs ( at ( ( a man ) ( in ( ( a ( black t-shirt ) ) ( who ( is ( telling ( a story ) ) ) ) ) ) ) ) ) . ) )	( ( The man ) ( tells ( a ( funny story ) ) ) )	(ROOT (S (NP (NP (DT A) (NN girl)) (PP (IN in) (NP (DT a) (JJ black) (NN t-shirt)))) (VP (VBZ laughs) (PP (IN at) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN t-shirt)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG telling) (NP (DT a) (NN story))))))))))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ tells) (NP (DT a) (JJ funny) (NN story)))))	A girl in a black t-shirt laughs at a man in a black t-shirt who is telling a story.	The man tells a funny story	297019770.jpg#1	297019770.jpg#1r1e	entailment	neutral	neutral	entailment	entailment
entailment	( ( ( A woman ) ( with ( ( ( a ( long ponytail ) ) and ) ( ( a man ) ( with ( short hair ) ) ) ) ) ) ( ( ( enjoy ( a laugh ) ) ( while ( eating dessert ) ) ) . ) )	( ( ( ( A woman ) and ) ( a man ) ) ( ( are ( eating dessert ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN with) (NP (NP (DT a) (JJ long) (NN ponytail)) (CC and) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (JJ short) (NN hair))))))) (VP (VBP enjoy) (NP (DT a) (NN laugh)) (PP (IN while) (S (VP (VBG eating) (NP (NN dessert)))))) (. .)))	(ROOT (S (NP (NP (DT A) (NN woman)) (CC and) (NP (DT a) (NN man))) (VP (VBP are) (VP (VBG eating) (NP (NN dessert)))) (. .)))	A woman with a long ponytail and a man with short hair enjoy a laugh while eating dessert.	A woman and a man are eating dessert.	297019770.jpg#0	297019770.jpg#0r1e	entailment	entailment	entailment	entailment	neutral
contradiction	( ( ( A woman ) ( with ( ( ( a ( long ponytail ) ) and ) ( ( a man ) ( with ( short hair ) ) ) ) ) ) ( ( ( enjoy ( a laugh ) ) ( while ( eating dessert ) ) ) . ) )	( ( A ( young couple ) ) ( ( are ( ( walking ( their dog ) ) ( in ( the park ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN with) (NP (NP (DT a) (JJ long) (NN ponytail)) (CC and) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (JJ short) (NN hair))))))) (VP (VBP enjoy) (NP (DT a) (NN laugh)) (PP (IN while) (S (VP (VBG eating) (NP (NN dessert)))))) (. .)))	(ROOT (S (NP (DT A) (JJ young) (NN couple)) (VP (VBP are) (VP (VBG walking) (NP (PRP$ their) (NN dog)) (PP (IN in) (NP (DT the) (NN park))))) (. .)))	A woman with a long ponytail and a man with short hair enjoy a laugh while eating dessert.	A young couple are walking their dog in the park.	297019770.jpg#0	297019770.jpg#0r1c	contradiction	contradiction	contradiction	contradiction	entailment
neutral	( ( ( A woman ) ( with ( ( ( a ( long ponytail ) ) and ) ( ( a man ) ( with ( short hair ) ) ) ) ) ) ( ( ( enjoy ( a laugh ) ) ( while ( eating dessert ) ) ) . ) )	( ( A ( young couple ) ) ( ( enjoy ( ( a laugh ) ( over dessert ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN with) (NP (NP (DT a) (JJ long) (NN ponytail)) (CC and) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (JJ short) (NN hair))))))) (VP (VBP enjoy) (NP (DT a) (NN laugh)) (PP (IN while) (S (VP (VBG eating) (NP (NN dessert)))))) (. .)))	(ROOT (S (NP (DT A) (JJ young) (NN couple)) (VP (VBP enjoy) (NP (NP (DT a) (NN laugh)) (PP (IN over) (NP (NN dessert))))) (. .)))	A woman with a long ponytail and a man with short hair enjoy a laugh while eating dessert.	A young couple enjoy a laugh over dessert.	297019770.jpg#0	297019770.jpg#0r1n	neutral	entailment	entailment	neutral	neutral
entailment	( ( ( A man ) ( with ( ( ( a pen ) and ) ( paper ( checking stock ) ) ) ) ) . )	( ( A person ) ( ( is ( checking stock ) ) . ) )	(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NP (DT a) (NN pen)) (CC and) (NP (NN paper) (VBG checking) (NN stock)))) (. .)))	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG checking) (NP (NN stock)))) (. .)))	A man with a pen and paper checking stock.	A person is checking stock.	2852672275.jpg#3	2852672275.jpg#3r1e	entailment				
neutral	( ( ( A man ) ( with ( ( ( a pen ) and ) ( paper ( checking stock ) ) ) ) ) . )	( ( The ( warehouse supervisor ) ) ( ( is ( checking ( ( the work ) ( of ( his employee ) ) ) ) ) . ) )	(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NP (DT a) (NN pen)) (CC and) (NP (NN paper) (VBG checking) (NN stock)))) (. .)))	(ROOT (S (NP (DT The) (NN warehouse) (NN supervisor)) (VP (VBZ is) (VP (VBG checking) (NP (NP (DT the) (NN work)) (PP (IN of) (NP (PRP$ his) (NN employee)))))) (. .)))	A man with a pen and paper checking stock.	The warehouse supervisor is checking the work of his employee.	2852672275.jpg#3	2852672275.jpg#3r1n	neutral				
contradiction	( ( ( A man ) ( with ( ( ( a pen ) and ) ( paper ( checking stock ) ) ) ) ) . )	( ( A man ) ( ( is ( ( driving ( his car ) ) ( in ( the rain ) ) ) ) . ) )	(ROOT (NP (NP (DT A) (NN man)) (PP (IN with) (NP (NP (DT a) (NN pen)) (CC and) (NP (NN paper) (VBG checking) (NN stock)))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG driving) (NP (PRP$ his) (NN car)) (PP (IN in) (NP (DT the) (NN rain))))) (. .)))	A man with a pen and paper checking stock.	A man is driving his car in the rain.	2852672275.jpg#3	2852672275.jpg#3r1c	contradiction				
contradiction	( Young ( ( man jumping ) ( in ( ( the water ) ( over ( waves ( at beach ) ) ) ) ) ) )	( Boy drowns )	(ROOT (NP (NP (NNP Young)) (NP (NP (NN man) (NN jumping)) (PP (IN in) (NP (NP (DT the) (NN water)) (PP (IN over) (NP (NP (NNS waves)) (PP (IN at) (NP (NN beach))))))))))	(ROOT (INTJ (UH Boy) (UH drowns)))	Young man jumping in the water over waves at beach	Boy drowns	4531067447.jpg#4	4531067447.jpg#4r1c	contradiction				
neutral	( Young ( ( man jumping ) ( in ( ( the water ) ( over ( waves ( at beach ) ) ) ) ) ) )	( ( Young man ) ( ( jumps ( in water ) ) ( to ( avoid parents ) ) ) )	(ROOT (NP (NP (NNP Young)) (NP (NP (NN man) (NN jumping)) (PP (IN in) (NP (NP (DT the) (NN water)) (PP (IN over) (NP (NP (NNS waves)) (PP (IN at) (NP (NN beach))))))))))	(ROOT (S (NP (NNP Young) (NN man)) (VP (VBZ jumps) (PP (IN in) (NP (NN water))) (S (VP (TO to) (VP (VB avoid) (NP (NNS parents))))))))	Young man jumping in the water over waves at beach	Young man jumps in water to avoid parents	4531067447.jpg#4	4531067447.jpg#4r1n	neutral				
entailment	( Young ( ( man jumping ) ( in ( ( the water ) ( over ( waves ( at beach ) ) ) ) ) ) )	( There ( ( is ( a boy ) ) outside ) )	(ROOT (NP (NP (NNP Young)) (NP (NP (NN man) (NN jumping)) (PP (IN in) (NP (NP (DT the) (NN water)) (PP (IN over) (NP (NP (NNS waves)) (PP (IN at) (NP (NN beach))))))))))	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (DT a) (NN boy)) (ADVP (RB outside)))))	Young man jumping in the water over waves at beach	There is a boy outside	4531067447.jpg#4	4531067447.jpg#4r1e	entailment				
entailment	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( Adults ( ( stand ( near ( ( a child ) ( holding ( a ( political sign ) ) ) ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (NNS Adults)) (VP (VBP stand) (PP (IN near) (NP (NP (DT a) (NN child)) (VP (VBG holding) (NP (DT a) (JJ political) (NN sign)))))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	Adults stand near a child holding a political sign.	6973013506.jpg#0	6973013506.jpg#0r3e	entailment				
entailment	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( The ( little girl ) ) ( ( is ( holding ( a sign ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT The) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (NN sign)))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	The little girl is holding a sign.	6973013506.jpg#0	6973013506.jpg#0r5e	entailment				
contradiction	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( Everyone ( ( is ( ( playing poker ) ( in ( a ( smoke-filled room ) ) ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (NN Everyone)) (VP (VBZ is) (VP (VBG playing) (NP (NN poker)) (PP (IN in) (NP (DT a) (JJ smoke-filled) (NN room))))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	Everyone is playing poker in a smoke-filled room.	6973013506.jpg#0	6973013506.jpg#0r2c	contradiction				
neutral	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( A girl ) ( ( protests ( with ( ( a group ) ( of adults ) ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT A) (NN girl)) (VP (VBZ protests) (PP (IN with) (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NNS adults)))))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	A girl protests with a group of adults.	6973013506.jpg#0	6973013506.jpg#0r4n	neutral				
entailment	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( A girl ) ( ( holds ( ( a sign ) ( near adults ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT A) (NN girl)) (VP (VBZ holds) (NP (NP (DT a) (NN sign)) (PP (IN near) (NP (NNS adults))))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	A girl holds a sign near adults.	6973013506.jpg#0	6973013506.jpg#0r4e	entailment				
entailment	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( A person ) ( holding ( a sign ) ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (NP (NP (DT A) (NN person)) (NP (NP (NN holding)) (NP (DT a) (NN sign)))))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	A person holding a sign	6973013506.jpg#0	6973013506.jpg#0r1e	entailment				
neutral	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( The girl ) ( ( is ( being ( forced ( to ( hold ( ( a ( Ron ( Paul sign ) ) ) ( because ( of ( her ( psychotic ( libertarian parents ) ) ) ) ) ) ) ) ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT The) (NN girl)) (VP (VBZ is) (VP (VBG being) (VP (VBN forced) (S (VP (TO to) (VP (VB hold) (NP (NP (DT a) (NNP Ron) (NNP Paul) (NN sign)) (PP (RB because) (IN of) (NP (PRP$ her) (JJ psychotic) (NN libertarian) (NNS parents)))))))))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	The girl is being forced to hold a Ron Paul sign because of her psychotic libertarian parents.	6973013506.jpg#0	6973013506.jpg#0r2n	neutral				
entailment	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( The girl ) ( ( is ( near adults ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT The) (NN girl)) (VP (VBZ is) (NP (JJ near) (NNS adults))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	The girl is near adults.	6973013506.jpg#0	6973013506.jpg#0r2e	entailment				
contradiction	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( The ( little girl ) ) ( ( is ( ( riding ( a dolphin ) ) ( with ( ( her hands ) ( in ( the air ) ) ) ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT The) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG riding) (NP (DT a) (NN dolphin)) (PP (IN with) (NP (NP (PRP$ her) (NNS hands)) (PP (IN in) (NP (DT the) (NN air))))))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	The little girl is riding a dolphin with her hands in the air.	6973013506.jpg#0	6973013506.jpg#0r5c	contradiction				
contradiction	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( ( A group ) ( of girls ) ) ( ( play together ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS girls)))) (VP (VBP play) (ADVP (RB together))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	A group of girls play together.	6973013506.jpg#0	6973013506.jpg#0r4c	contradiction				
neutral	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( ( Some people ) ( ( are ( at ( a ( political rally ) ) ) ) . ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (S (NP (DT Some) (NNS people)) (VP (VBP are) (PP (IN at) (NP (DT a) (JJ political) (NN rally)))) (. .)))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	Some people are at a political rally.	6973013506.jpg#0	6973013506.jpg#0r3n	neutral				
neutral	( ( ( A ( little girl ) ) ( is ( holding ( a ( colorful ( end ( war ( Ron ( Paul sign ) ) ) ) ) ) ) ) ) ( , ( ( some adults ) ( ( ( are also ) ( ( standing ( near her ) ) ( in ( the picture ) ) ) ) . ) ) ) )	( Some ( tall people ) )	(ROOT (S (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG holding) (NP (DT a) (JJ colorful) (NN end) (NN war) (NNP Ron) (NNP Paul) (NN sign))))) (, ,) (NP (DT some) (NNS adults)) (VP (VBP are) (ADVP (RB also)) (VP (VBG standing) (PP (IN near) (NP (PRP her))) (PP (IN in) (NP (DT the) (NN picture))))) (. .)))	(ROOT (NP (NP (DT Some)) (NP (JJ tall) (NNS people))))	A little girl is holding a colorful end war Ron Paul sign, some adults are also standing near her in the picture.	Some tall people	6973013506.jpg#0	6973013506.jpg#0r1n	neutral				
